Date,Open,High,Low,Close,Adj Close,Volume
2024-03-13,88.000000,88.000000,83.769997,86.000000,85.992981,1404868
2024-03-14,84.750000,85.720001,82.010002,83.269997,83.263199,1767772
2024-03-15,82.440002,84.760002,81.639999,83.180000,83.173210,885927
2024-03-18,85.529999,87.459999,82.449997,83.790001,83.783165,1924328
2024-03-19,81.889999,85.650002,80.440002,84.570000,84.563095,2178225
2024-03-20,85.000000,85.570000,83.510002,85.440002,85.433029,849246
2024-03-21,87.300003,87.599998,85.589996,86.489998,86.482941,1076995
2024-03-22,86.309998,89.690002,86.099998,89.239998,89.232719,1027954
2024-03-25,89.029999,91.500000,88.480003,89.989998,89.982658,671139
2024-03-26,90.720001,91.120003,87.629997,87.650002,87.642853,534645
2024-03-27,88.040001,88.129997,84.379997,85.349998,85.343033,671733
2024-03-28,84.970001,86.349998,84.410004,85.540001,85.533020,215012
2024-04-01,85.470001,87.220001,84.419998,85.459999,85.453026,354676
2024-04-02,83.760002,85.190002,82.930000,84.669998,84.663086,507506
2024-04-03,83.669998,85.449997,83.660004,84.080002,84.073143,431752
2024-04-04,85.440002,85.699997,81.260002,81.300003,81.293365,742939
2024-04-05,82.050003,83.699997,81.300003,83.260002,83.253212,439003
2024-04-08,83.839996,83.889999,82.050003,82.349998,82.343277,349904
2024-04-09,82.570000,82.779999,78.519997,80.699997,80.693413,709870
2024-04-10,82.400002,82.400002,82.400002,82.400002,82.393280,2000
2024-04-11,82.589996,85.790001,82.300003,85.650002,85.643013,465263
2024-04-12,84.760002,85.239998,82.750000,83.470001,83.463188,474820
2024-04-15,84.190002,85.690002,81.300003,81.300003,81.293365,427268
2024-04-16,81.730003,83.089996,81.419998,82.680000,82.673256,429764
2024-04-17,83.500000,83.910004,79.370003,79.519997,79.513512,782573
2024-04-18,80.300003,81.449997,77.879997,80.129997,80.123459,644242
2024-04-19,78.529999,79.699997,71.500000,72.080002,72.074120,1274651
2024-04-22,73.889999,75.660004,72.290001,75.220001,75.213860,774953
2024-04-23,76.589996,78.220001,75.900002,77.879997,77.873642,471612
2024-04-24,79.900002,79.900002,74.919998,75.309998,75.303856,449887
2024-04-25,74.449997,78.699997,74.000000,78.059998,78.053627,800884
2024-04-26,79.320000,83.440002,78.820000,82.980003,82.973236,663963
2024-04-29,82.889999,83.120003,80.680000,82.959999,82.953232,428150
2024-04-30,82.449997,83.900002,81.559998,81.650002,81.643341,310594
2024-05-01,80.400002,80.800003,76.830002,78.699997,78.693573,4751
2024-05-02,79.769997,81.389999,78.610001,81.019997,81.013382,352911
2024-05-03,82.970001,84.059998,82.250000,83.750000,83.743164,102985
2024-05-06,84.440002,87.059998,84.150002,87.000000,86.992905,425920
2024-05-07,86.029999,86.550003,84.089996,85.489998,85.483025,489182
2024-05-08,84.480003,86.089996,84.459999,85.330002,85.323036,332544
2024-05-09,85.519997,85.900002,83.370003,83.769997,83.763161,316064
2024-05-10,85.150002,86.250000,84.300003,84.910004,84.903076,299519
2024-05-13,85.470001,85.919998,83.639999,85.360001,85.353035,264946
2024-05-14,84.629997,86.500000,84.019997,86.269997,86.262955,334673
2024-05-15,87.250000,89.500000,86.790001,89.269997,89.262711,480731
2024-05-16,89.669998,90.459999,88.849998,89.120003,89.112732,691796
2024-05-17,89.290001,89.389999,86.750000,87.360001,87.352875,298176
2024-05-21,88.400002,90.050003,88.000000,89.970001,89.962662,352901
2024-05-22,90.139999,90.559998,88.089996,89.599998,89.592690,406018
2024-05-23,96.379997,100.250000,95.870003,98.029999,98.022003,1382366
2024-05-24,98.650002,100.389999,97.250000,100.389999,100.381805,658605
